,Spraak,Q1_natur_kom_1,Q1_natur_kom_2,Q1_natur_kom_3,Q1_kultur_kom_1,Q1_kultur_kom_2,Q1_kultur_kom_3,Q1_kultur_kom_4,Q1_kultur_kom_5,Q1_kultur_kom_6,Q1_kultur_kom_7,Q1_arbeid_kom_1,Q1_arbeid_kom_2,Q1_arbeid_kom_3,Q1_samferdsel_kom_1,Q1_samferdsel_kom_2,Q1_samferdsel_kom_3,Q1_samferdsel_kom_4,Q1_samferdsel_kom_5,Q1_samferdsel_kom_6,Q1_renovasjon_kom_1,Q1_renovasjon_kom_2,Q2_1,Q3_1,Q3_2,Q3_3,Q3_4,Q3_5,Q5_1,Q6_1,Q7_1,Q9_1,Q9_2,Q9_3,Q9_4,Q9_5,Q9_6,Q9_7,Q9_8,Q9_9,Q9_10,Q9_11,Q10_1,Q11_1,Q13_1,Q14_1,Q15_1,Q15_2,Q15_3,Q15_4,Q16,Q18,Q19_1,Q19_2,Q46a,Q48a,Q52a,Q55a_1,Q55a_2,Q55a_3,Q55a_4,Q55a_9,Q60a,Q62a,Q64a_1,Q64a_2,Q64a_3,Q64a_4,Q64a_5,Q64a_6,Q64a_7,Q64a_8,Q64a_9,Q65a_1,Q65a_2,Q65a_3,Q65a_4,Q65a_5,Q65a_6,Q65ana,Q66a_1,Q68a,Id,Alderkat,Q56a,Q61a,Kommunestr,Fylke,Q49a,Sentralitet,Q57a,Q58a,Q63a,Q67a,Q53a,Q54a
0,1.0,4.0,3.0,4.0,6.0,6.0,6.0,6.0,4.0,6.0,6.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,4.0,5.0,5.0,5.0,4.0,5.0,4.0,4.0,4.0,5.0,4.0,3.0,3.0,3.0,2.0,3.0,4.0,5.0,3.0,4.0,4.0,4.0,6.0,5.0,8.0,2.0,3.0,2.0,2.0,1.0,2.0,7.0,1.0,6.0,7.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,3.0,2.0,100008.0,3,4.0,7.0,3.0,18,2.0,3.0,5.0,0.0,4.0,9999.0,4.0,2.0
1,1.0,7.0,7.0,7.0,6.0,6.0,7.0,6.0,7.0,7.0,7.0,5.0,6.0,8.0,6.0,7.0,7.0,6.0,5.0,6.0,7.0,7.0,7.0,6.0,6.0,5.0,5.0,8.0,7.0,7.0,6.0,7.0,6.0,6.0,5.0,8.0,6.0,8.0,8.0,6.0,7.0,7.0,7.0,7.0,8.0,8.0,2.0,2.0,1.0,2.0,14.0,1.0,7.0,7.0,1.0,1.0,3.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,,2.0,100048.0,1,2.0,8.0,3.0,7,5.0,4.0,3.0,0.0,3.0,1.0,4.0,1.0
2,1.0,5.0,3.0,3.0,6.0,4.0,6.0,4.0,5.0,6.0,6.0,4.0,5.0,4.0,1.0,1.0,1.0,1.0,1.0,3.0,6.0,4.0,6.0,3.0,2.0,3.0,3.0,1.0,5.0,5.0,3.0,3.0,5.0,1.0,3.0,2.0,6.0,5.0,3.0,6.0,1.0,6.0,4.0,5.0,3.0,1.0,1.0,2.0,1.0,2.0,11.0,1.0,5.0,6.0,1.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,5.0,2.0,100072.0,1,2.0,6.0,3.0,18,5.0,3.0,3.0,0.0,4.0,2.0,2.0,0.0
3,1.0,7.0,6.0,6.0,6.0,6.0,4.0,5.0,8.0,6.0,6.0,7.0,8.0,8.0,4.0,4.0,4.0,8.0,4.0,3.0,7.0,3.0,7.0,8.0,8.0,5.0,5.0,3.0,6.0,4.0,5.0,8.0,4.0,6.0,4.0,4.0,4.0,5.0,8.0,8.0,8.0,5.0,5.0,5.0,8.0,4.0,2.0,2.0,2.0,2.0,1.0,1.0,3.0,5.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,7.0,2.0,100109.0,5,2.0,6.0,3.0,1,5.0,4.0,4.0,0.0,4.0,1.0,2.0,0.0
4,1.0,6.0,6.0,3.0,3.0,2.0,2.0,2.0,4.0,6.0,5.0,4.0,2.0,4.0,1.0,1.0,1.0,4.0,4.0,3.0,5.0,5.0,7.0,3.0,2.0,3.0,5.0,2.0,5.0,4.0,4.0,6.0,5.0,6.0,6.0,6.0,8.0,8.0,2.0,5.0,2.0,8.0,5.0,1.0,2.0,3.0,2.0,1.0,1.0,1.0,9.0,1.0,5.0,6.0,3.0,3.0,2.0,1.0,1.0,0.0,0.0,0.0,2.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,4.0,2.0,100148.0,3,4.0,6.0,3.0,6,4.0,4.0,1.0,2.0,3.0,1.0,4.0,2.0
5,1.0,4.0,7.0,6.0,5.0,5.0,5.0,1.0,6.0,5.0,6.0,7.0,7.0,5.0,1.0,6.0,6.0,6.0,5.0,3.0,7.0,6.0,7.0,3.0,6.0,6.0,6.0,5.0,7.0,7.0,6.0,7.0,6.0,6.0,1.0,4.0,5.0,8.0,8.0,5.0,1.0,7.0,6.0,7.0,6.0,6.0,1.0,1.0,2.0,1.0,7.0,1.0,7.0,7.0,1.0,1.0,2.0,0.0,0.0,0.0,1.0,0.0,2.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,,,100149.0,4,2.0,8.0,1.0,18,,2.0,1.0,2.0,4.0,,5.0,2.0
6,2.0,7.0,7.0,7.0,6.0,6.0,5.0,5.0,5.0,5.0,6.0,7.0,6.0,6.0,6.0,5.0,5.0,5.0,6.0,6.0,7.0,5.0,7.0,6.0,6.0,2.0,3.0,5.0,7.0,7.0,6.0,7.0,6.0,6.0,5.0,6.0,5.0,6.0,6.0,6.0,1.0,3.0,6.0,5.0,5.0,6.0,1.0,1.0,1.0,1.0,9.0,1.0,7.0,7.0,1.0,1.0,4.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,7.0,2.0,100156.0,3,4.0,7.0,2.0,12,5.0,1.0,1.0,1.0,4.0,1.0,2.0,0.0
7,1.0,7.0,7.0,7.0,6.0,8.0,4.0,4.0,4.0,4.0,5.0,7.0,8.0,8.0,6.0,6.0,5.0,8.0,6.0,7.0,7.0,7.0,7.0,7.0,8.0,8.0,8.0,8.0,7.0,7.0,9999.0,7.0,7.0,8.0,8.0,7.0,8.0,7.0,8.0,8.0,1.0,7.0,9999.0,5.0,7.0,7.0,1.0,2.0,2.0,2.0,13.0,2.0,7.0,7.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,3.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,7.0,2.0,100182.0,2,4.0,7.0,2.0,8,5.0,3.0,1.0,2.0,4.0,1.0,3.0,0.0
8,1.0,6.0,2.0,6.0,2.0,2.0,6.0,6.0,4.0,2.0,3.0,7.0,7.0,4.0,6.0,3.0,5.0,4.0,2.0,6.0,6.0,6.0,6.0,4.0,5.0,5.0,5.0,5.0,7.0,6.0,6.0,7.0,7.0,7.0,8.0,8.0,6.0,8.0,8.0,7.0,7.0,7.0,6.0,8.0,5.0,5.0,2.0,2.0,2.0,1.0,5.0,1.0,6.0,7.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,7.0,2.0,100253.0,3,4.0,8.0,4.0,3,4.0,4.0,1.0,1.0,4.0,1.0,4.0,2.0
9,1.0,4.0,6.0,5.0,8.0,3.0,3.0,2.0,3.0,3.0,4.0,2.0,3.0,3.0,3.0,4.0,5.0,2.0,4.0,2.0,3.0,3.0,2.0,1.0,2.0,1.0,2.0,2.0,3.0,3.0,2.0,4.0,4.0,5.0,1.0,2.0,4.0,2.0,2.0,5.0,2.0,2.0,2.0,4.0,1.0,1.0,3.0,1.0,1.0,1.0,12.0,3.0,5.0,4.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,4.0,2.0,100273.0,4,3.0,4.0,3.0,2,4.0,4.0,,0.0,4.0,1.0,,
