,Q1_natur_kom_1,Q1_natur_kom_2,Q1_natur_kom_3,Q1_kultur_kom_1,Q1_kultur_kom_2,Q1_kultur_kom_3,Q1_kultur_kom_4,Q1_kultur_kom_5,Q1_kultur_kom_6,Q1_kultur_kom_7,Q1_arbeid_kom_1,Q1_arbeid_kom_2,Q1_arbeid_kom_3,Q1_samferdsel_kom_1,Q1_samferdsel_kom_2,Q1_samferdsel_kom_3,Q1_samferdsel_kom_4,Q1_samferdsel_kom_5,Q1_samferdsel_kom_6,Q1_renovasjon_kom_1,Q1_renovasjon_kom_2,Q2_1,Q3_1,Q3_2,Q3_3,Q3_4,Q3_5,Q5_1,Q6_1,Q7_1,Q9_1,Q9_2,Q9_3,Q9_4,Q9_5,Q9_6,Q9_7,Q9_8,Q9_9,Q9_10,Q9_11,Q10_1,Q11_1,Q13_1,Q14_1,Q15_1,Q15_2,Q15_3,Q15_4,Q16,Q18,Q19_1,Q19_2,Q55a_1,Q55a_2,Q55a_3,Q55a_4,Q55a_9,Q64a_1,Q64a_2,Q64a_3,Q64a_4,Q64a_5,Q64a_6,Q64a_7,Q64a_8,Q64a_9,Q65a_1,Q65a_2,Q65a_3,Q65a_4,Q65a_5,Q65a_6,Q65ana,Q66a_1,Q68a,Id,Alderkat,Q61a,Kommunestr,Q49a,Sentralitet,Q63a,Q67a,Q53a,Q54a,Spraak_1.0,Spraak_2.0,Spraak_4.0,Spraak_5.0,Q57a_1.0,Q57a_2.0,Q57a_3.0,Q57a_4.0,Q57a_5.0,Q57a_6.0,Q57a_7.0,Q46a_1.0,Q46a_2.0,Q46a_3.0,Q46a_4.0,Q46a_5.0,Q46a_6.0,Q46a_7.0,Q46a_8.0,Q46a_9.0,Q46a_10.0,Q48a_1.0,Q48a_2.0,Q48a_3.0,Q52a_1.0,Q52a_2.0,Q52a_3.0,Q52a_4.0,Q60a_0.0,Q60a_1.0,Q60a_2.0,Q60a_3.0,Q58a_0.0,Q58a_1.0,Q58a_2.0,Q58a_3.0,Q62a_1.0,Q62a_2.0,Q62a_3.0,Q62a_4.0,Q62a_5.0,Q56a_1.0,Q56a_2.0,Q56a_3.0,Q56a_4.0,Fylke_1,Fylke_2,Fylke_3,Fylke_4,Fylke_5,Fylke_6,Fylke_7,Fylke_8,Fylke_9,Fylke_10,Fylke_11,Fylke_12,Fylke_14,Fylke_15,Fylke_18,Fylke_19,Fylke_20,Fylke_50
0,4.0,3.0,4.0,6.0,6.0,6.0,6.0,4.0,6.0,6.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,4.0,5.0,5.0,5.0,4.0,5.0,4.0,4.0,4.0,5.0,4.0,3.0,3.0,3.0,2.0,3.0,4.0,5.0,3.0,4.0,4.0,4.0,6.0,5.0,4.272249516508522,2.0,3.0,2.0,2.0,1.0,2.0,7.0,1.0,6.0,7.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,3.0,2.0,100008.0,3,7.0,3.0,2.0,3.0,4.0,1.218447210331865,4.0,2.0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
1,5.0,3.0,3.0,6.0,4.0,6.0,4.0,5.0,6.0,6.0,4.0,5.0,4.0,1.0,1.0,1.0,1.0,1.0,3.0,6.0,4.0,6.0,3.0,2.0,3.0,3.0,1.0,5.0,5.0,3.0,3.0,5.0,1.0,3.0,2.0,6.0,5.0,3.0,6.0,1.0,6.0,4.0,5.0,3.0,1.0,1.0,2.0,1.0,2.0,11.0,1.0,5.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,5.0,2.0,100072.0,1,6.0,3.0,5.0,3.0,4.0,2.0,2.0,0.0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
2,7.0,6.0,6.0,6.0,6.0,4.0,5.0,5.999987094268191,6.0,6.0,7.0,4.863909096490161,5.086533225966815,4.0,4.0,4.0,3.222895724822536,4.0,3.0,7.0,3.0,7.0,4.502769262571535,4.405809971930229,5.0,5.0,3.0,6.0,4.0,5.0,4.530299009037906,4.0,6.0,4.0,4.0,4.0,5.0,3.743780057955512,5.490550310092317,4.335178364866225,5.0,5.0,5.0,3.733298419846047,4.0,2.0,2.0,2.0,2.0,1.0,1.0,3.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,7.0,2.0,100109.0,5,6.0,3.0,5.0,4.0,4.0,1.0,2.0,0.0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,6.0,6.0,3.0,3.0,2.0,2.0,2.0,4.0,6.0,5.0,4.0,2.0,4.0,1.0,1.0,1.0,4.0,4.0,3.0,5.0,5.0,7.0,3.0,2.0,3.0,5.0,2.0,5.0,4.0,4.0,6.0,5.0,6.0,6.0,6.0,5.507928884190412,8.0,2.0,5.0,2.0,4.501044723520831,5.0,1.0,2.0,3.0,2.0,1.0,1.0,1.0,9.0,1.0,5.0,6.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,4.0,2.0,100148.0,3,6.0,3.0,4.0,4.0,3.0,1.0,4.0,2.0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
4,4.0,7.0,6.0,5.0,5.0,5.0,1.0,6.0,5.0,6.0,7.0,7.0,5.0,1.0,6.0,6.0,6.0,5.0,3.0,7.0,6.0,7.0,3.0,6.0,6.0,6.0,5.0,7.0,7.0,6.0,7.0,6.0,6.0,1.0,4.0,5.0,8.0,3.41748156587209,5.0,1.0,7.0,6.0,7.0,6.0,6.0,1.0,1.0,2.0,1.0,7.0,1.0,7.0,7.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,6.74073955178134,,100149.0,4,8.0,1.0,,2.0,4.0,1.103597242431461,5.0,2.0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
5,7.0,7.0,7.0,6.0,6.0,5.0,5.0,5.0,5.0,6.0,7.0,6.0,6.0,6.0,5.0,5.0,5.0,6.0,6.0,7.0,5.0,7.0,6.0,6.0,2.0,3.0,5.0,7.0,7.0,6.0,7.0,6.0,6.0,5.0,6.0,5.0,6.0,6.0,6.0,1.0,3.0,6.0,5.0,5.0,6.0,1.0,1.0,1.0,1.0,9.0,1.0,7.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,7.0,2.0,100156.0,3,7.0,2.0,5.0,1.0,4.0,1.0,2.0,0.0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
6,7.0,7.0,7.0,6.0,5.735586127667605,4.0,4.0,4.0,4.0,5.0,7.0,5.043751855499192,5.300922955360653,6.0,6.0,5.0,5.600229725727409,6.0,7.0,7.0,7.0,7.0,7.0,6.997361848378429,6.318443683617119,6.403779816112887,6.668507650706266,7.0,7.0,6.621940974467744,7.0,7.0,6.2202416202714605,5.50369897964902,7.0,6.858160031597668,7.0,5.905909553428791,6.098775735520183,1.0,7.0,6.537384942775628,5.0,7.0,7.0,1.0,2.0,2.0,2.0,13.0,2.0,7.0,7.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,7.0,2.0,100182.0,2,7.0,2.0,5.0,3.0,4.0,1.0,3.0,0.0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
7,6.0,2.0,6.0,2.0,2.0,6.0,6.0,4.0,2.0,3.0,7.0,7.0,4.0,6.0,3.0,5.0,4.0,2.0,6.0,6.0,6.0,6.0,4.0,5.0,5.0,5.0,5.0,7.0,6.0,6.0,7.0,7.0,7.0,5.733341684629056,4.904060896330821,6.0,8.0,4.673749048963034,7.0,7.0,7.0,6.0,6.042817715842089,5.0,5.0,2.0,2.0,2.0,1.0,5.0,1.0,6.0,7.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,7.0,2.0,100253.0,3,8.0,4.0,4.0,4.0,4.0,1.0,4.0,2.0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8,4.0,6.0,5.0,2.8540299841404657,3.0,3.0,2.0,3.0,3.0,4.0,2.0,3.0,3.0,3.0,4.0,5.0,2.0,4.0,2.0,3.0,3.0,2.0,1.0,2.0,1.0,2.0,2.0,3.0,3.0,2.0,4.0,4.0,5.0,1.0,2.0,4.0,2.0,2.0,5.0,2.0,2.0,2.0,4.0,1.0,1.0,1.2576143327369862,1.0,1.0,1.0,12.0,1.2372309166569446,5.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,4.0,2.0,100273.0,4,4.0,3.0,4.0,4.0,4.0,1.0,1.0,0.0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9,7.0,7.0,7.0,7.0,7.0,6.0,4.0,7.0,7.0,7.0,7.0,7.0,5.0,1.0,1.0,1.0,1.0,1.0,1.0,7.0,7.0,7.0,6.0,7.0,5.0,7.0,7.0,7.0,7.0,5.0,7.0,7.0,6.0,5.0,5.0,6.0,6.0,6.0,7.0,1.0,7.0,6.0,6.0,7.0,7.0,1.0,1.0,1.0,1.0,7.0,1.0,7.0,7.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,7.0,2.0,100292.0,3,8.0,1.0,5.0,1.0,4.0,1.0,4.0,2.0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
