,Spraak,Q20a_1,Q20a_2,Q21a_1,Q21a_2,Q21a_3,Q21a_4,Q22a_1,Q23a_1,Q24a_1,Q24a_2,Q20b_1,Q20b_2,Q20b_3,Q20b_4,Q20b_5,Q20b_6,Q20b_7,Q20b_8,Q20b_9,Q25a_q21b_1,Q25a_q21b_2,Q26a_1,Q26a_2,Q27a_1,Q27a_2,Q27a_3,Q27a_4,Q27a_5,Q27a_6,Q29a_1,Q30a_1,Q31a_1,Q33a_1,Q33a_2,Q33a_3,Q33a_4,Q33a_5,Q33a_6,Q33a_7,Q33a_8,Q33a_9,Q33a_10,Q33a_11,Q33a_12,Q33a_13,Q34a_1,Q35a_1,Q36a_1,Q37a,Q38a_1,Q38a_2,Q39a_1,Q40a,Q41a_1,Q41a_2,Q41a_3,Q41a_4,Q41a_5,Q41a_6,Q35b_1,Q35b_2,Q35b_3,Q35b_4,Q35b_5,Q42a_1,Q46a,Q48a,Q52a,Q55a_1,Q55a_2,Q55a_3,Q55a_4,Q55a_9,Q60a,Q62a,Q64a_1,Q64a_2,Q64a_3,Q64a_4,Q64a_5,Q64a_6,Q64a_7,Q64a_8,Q64a_9,Q65a_1,Q65a_2,Q65a_3,Q65a_4,Q65a_5,Q65a_6,Q65ana,Q66a_1,Q68a,Id,Alderkat,Q56a,Q61a,Kommunestr,Fylke,Q49a,Sentralitet,Q57a,Q58a,Q63a,Q67a,Q53a,Q54a
3701,1.0,6.0,6.0,6.0,5.0,4.0,2.0,5.0,3.0,4.0,6.0,1.0,3.0,7.0,6.0,5.0,4.0,3.0,4.0,6.0,3.0,3.0,3.0,5.0,2.0,2.0,4.0,,,,7.0,6.0,6.0,4.0,3.0,4.0,2.0,5.0,3.0,5.0,5.0,,5.0,3.0,1.0,1.0,2.0,3.0,2.0,1.0,1.0,1.0,7.0,1.0,3.0,2.0,2.0,4.0,1.0,2.0,3.0,1.0,2.0,3.0,3.0,7.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,160007.0,5,,,1.0,20,,1.0,,0.0,5.0,,,
3702,1.0,7.0,6.0,6.0,7.0,7.0,6.0,7.0,3.0,6.0,6.0,2.0,1.0,7.0,5.0,2.0,5.0,6.0,6.0,6.0,5.0,6.0,7.0,7.0,6.0,6.0,6.0,6.0,6.0,8.0,3.0,6.0,4.0,4.0,4.0,8.0,1.0,6.0,6.0,4.0,3.0,7.0,7.0,6.0,6.0,4.0,6.0,3.0,4.0,2.0,2.0,2.0,5.0,8.0,4.0,3.0,2.0,5.0,3.0,2.0,6.0,4.0,4.0,4.0,3.0,6.0,7.0,2.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,4.0,2.0,160019.0,1,2.0,1.0,4.0,3,1.0,4.0,3.0,0.0,3.0,1.0,1.0,
3703,1.0,7.0,6.0,7.0,7.0,7.0,7.0,6.0,6.0,6.0,6.0,7.0,7.0,7.0,7.0,6.0,6.0,6.0,5.0,7.0,7.0,7.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,6.0,6.0,7.0,7.0,8.0,6.0,8.0,6.0,7.0,5.0,5.0,2.0,2.0,2.0,5.0,1.0,4.0,4.0,4.0,5.0,3.0,3.0,5.0,4.0,5.0,,2.0,6.0,1.0,1.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,2.0,160055.0,5,1.0,2.0,3.0,20,5.0,2.0,4.0,0.0,2.0,1.0,1.0,
3704,1.0,7.0,7.0,7.0,7.0,7.0,7.0,5.0,6.0,7.0,7.0,7.0,7.0,7.0,7.0,5.0,7.0,7.0,6.0,7.0,6.0,6.0,7.0,7.0,7.0,7.0,8.0,8.0,7.0,8.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,6.0,6.0,8.0,7.0,7.0,8.0,7.0,7.0,6.0,7.0,6.0,6.0,2.0,2.0,2.0,6.0,9.0,5.0,5.0,5.0,5.0,5.0,5.0,4.0,4.0,4.0,4.0,4.0,7.0,1.0,1.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,7.0,2.0,160076.0,5,1.0,4.0,4.0,3,5.0,4.0,4.0,0.0,3.0,9999.0,1.0,0.0
3705,1.0,6.0,5.0,6.0,4.0,4.0,6.0,1.0,3.0,5.0,6.0,1.0,2.0,1.0,1.0,3.0,6.0,3.0,1.0,1.0,4.0,1.0,6.0,6.0,8.0,7.0,5.0,8.0,8.0,4.0,6.0,5.0,3.0,5.0,4.0,3.0,2.0,5.0,,5.0,6.0,4.0,4.0,5.0,3.0,1.0,2.0,1.0,2.0,3.0,2.0,2.0,5.0,12.0,2.0,1.0,1.0,2.0,1.0,1.0,1.0,2.0,2.0,2.0,5.0,3.0,1.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,7.0,2.0,160099.0,3,3.0,6.0,1.0,5,5.0,1.0,1.0,1.0,4.0,1.0,2.0,
3706,1.0,6.0,6.0,5.0,5.0,5.0,5.0,5.0,5.0,4.0,2.0,5.0,5.0,4.0,5.0,3.0,6.0,6.0,4.0,4.0,6.0,4.0,5.0,5.0,4.0,6.0,6.0,8.0,4.0,8.0,7.0,7.0,5.0,3.0,1.0,3.0,6.0,4.0,4.0,8.0,5.0,6.0,5.0,8.0,5.0,5.0,4.0,2.0,4.0,2.0,2.0,2.0,6.0,12.0,3.0,2.0,2.0,2.0,1.0,3.0,4.0,2.0,2.0,3.0,4.0,5.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,7.0,2.0,160165.0,5,4.0,4.0,4.0,2,5.0,4.0,4.0,0.0,3.0,1.0,2.0,0.0
3707,1.0,8.0,8.0,7.0,7.0,7.0,7.0,5.0,6.0,6.0,7.0,6.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,6.0,5.0,7.0,7.0,7.0,7.0,7.0,7.0,4.0,7.0,7.0,7.0,7.0,7.0,6.0,7.0,7.0,7.0,7.0,7.0,8.0,8.0,6.0,4.0,7.0,5.0,7.0,7.0,5.0,7.0,3.0,2.0,2.0,4.0,2.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,3.0,6.0,1.0,1.0,3.0,0.0,0.0,0.0,0.0,1.0,3.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,7.0,2.0,160208.0,5,2.0,4.0,3.0,2,5.0,4.0,1.0,1.0,3.0,2.0,3.0,0.0
3708,1.0,6.0,5.0,5.0,6.0,5.0,4.0,5.0,4.0,5.0,5.0,5.0,5.0,5.0,6.0,5.0,5.0,4.0,5.0,5.0,4.0,3.0,5.0,5.0,5.0,5.0,8.0,6.0,4.0,4.0,7.0,6.0,5.0,5.0,3.0,6.0,5.0,3.0,5.0,5.0,4.0,5.0,5.0,4.0,3.0,5.0,5.0,6.0,6.0,2.0,2.0,2.0,6.0,1.0,5.0,5.0,5.0,4.0,4.0,3.0,2.0,3.0,2.0,1.0,5.0,4.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,5.0,2.0,160234.0,4,3.0,6.0,3.0,11,5.0,3.0,4.0,0.0,2.0,1.0,3.0,0.0
3709,1.0,7.0,6.0,5.0,6.0,5.0,5.0,4.0,6.0,4.0,5.0,5.0,5.0,5.0,6.0,4.0,5.0,5.0,5.0,5.0,6.0,5.0,5.0,6.0,6.0,5.0,5.0,8.0,5.0,5.0,6.0,6.0,5.0,5.0,4.0,6.0,6.0,6.0,5.0,4.0,6.0,6.0,8.0,5.0,6.0,5.0,5.0,4.0,5.0,1.0,2.0,2.0,5.0,12.0,5.0,5.0,4.0,4.0,4.0,3.0,3.0,3.0,4.0,4.0,3.0,4.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,5.0,2.0,160267.0,4,4.0,8.0,4.0,50,5.0,4.0,1.0,1.0,4.0,1.0,2.0,0.0
3710,1.0,1.0,3.0,5.0,6.0,3.0,5.0,4.0,2.0,3.0,3.0,2.0,3.0,3.0,2.0,4.0,4.0,3.0,4.0,4.0,3.0,4.0,5.0,5.0,5.0,5.0,4.0,8.0,4.0,5.0,6.0,6.0,6.0,4.0,4.0,4.0,4.0,4.0,2.0,8.0,5.0,6.0,5.0,5.0,6.0,5.0,5.0,2.0,3.0,,2.0,1.0,5.0,1.0,4.0,4.0,3.0,3.0,3.0,2.0,2.0,4.0,3.0,3.0,3.0,5.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,3.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,6.0,2.0,160271.0,4,4.0,7.0,1.0,4,5.0,1.0,1.0,1.0,4.0,1.0,2.0,0.0
